Function,Count,init,term,time
funcA,1,274888924650,274889080969,156319
funcA,2,274889391656,274889563283,171627
funcA,3,274889713085,274889863658,150573
funcA,4,274891124774,274891273268,148494
funcA,5,274891273323,274891433456,160133
funcA,6,274891585760,274891743608,157848
funcA,7,274891743635,274891894875,151240
funcA,8,274892058196,274892206877,148681
funcA,9,274892364945,274892527619,162674
funcA,10,274892990071,274893149243,159172
funcA,11,274893149281,274893296977,147696
funcA,12,274894240037,274894401672,161635
funcA,13,274894872554,274895023248,150694
funcA,14,274895023260,274895161689,138429
funcA,15,274895639606,274895798977,159371
funcA,16,274895798993,274895951386,152393
funcA,17,274895951416,274896108410,156994
funcA,18,274896108424,274896259934,151510
funcA,19,274896909025,274897052582,143557
funcA,20,274897052594,274897204337,151743
funcA,21,274897838285,274897982837,144552
funcA,22,274897982872,274898150511,167639
funcA,23,274898150527,274898295011,144484
funcA,24,274898295046,274898463552,168506
funcA,25,274898463570,274898607977,144407
funcA,26,274900490955,274900635090,144135
funcA,27,274901115007,274901281455,166448
funcA,28,274901594258,274901740913,146655
funcA,29,274901903440,274902050909,147469
funcA,30,274902365551,274902531849,166298
funcA,31,274903145288,274903297497,152209
funcA,32,274903297530,274903461075,163545
funcA,33,274903610406,274903767789,157383
funcC,1,274888286241,274888286242,1
funcC,2,274889233017,274889233018,1
funcC,3,274890157175,274890157176,1
funcC,4,274890481605,274890481605,0
funcC,5,274890638167,274890638168,1
funcC,6,274892353238,274892353239,1
funcC,7,274892823115,274892823116,1
funcC,8,274894070532,274894070533,1
funcC,9,274894226838,274894226838,0
funcC,10,274894852089,274894852089,0
funcC,11,274895314276,274895314276,0
funcC,12,274895472356,274895472356,0
funcC,13,274895628409,274895628409,0
funcC,14,274896406550,274896406550,0
funcC,15,274896572788,274896572789,1
funcC,16,274896887480,274896887480,0
funcC,17,274897353264,274897353265,1
funcC,18,274897505096,274897505097,1
funcC,19,274897662358,274897662359,1
funcC,20,274897819981,274897819981,0
funcC,21,274898913269,274898913270,1
funcC,22,274899069365,274899069367,2
funcC,23,274899381778,274899381780,2
funcC,24,274899857666,274899857666,0
funcC,25,274900169421,274900169422,1
funcC,26,274900480324,274900480325,1
funcC,27,274900952186,274900952186,0
funcC,28,274902199763,274902199763,0
funcC,29,274903603270,274903603272,2
funcB,1,274888289891,274888442487,152596
funcB,2,274888446629,274888595486,148857
funcB,3,274888601921,274888752354,150433
funcB,4,274888758312,274888920420,162108
funcB,5,274889238502,274889388440,149938
funcB,6,274889563307,274889702300,138993
funcB,7,274889863726,274890005011,141285
funcB,8,274890213270,274890325454,112184
funcB,9,274890651902,274890794138,142236
funcB,10,274890808482,274890950357,141875
funcB,11,274890964437,274891106812,142375
funcB,12,274891433530,274891575198,141668
funcB,13,274891894990,274892040063,145073
funcB,14,274892527632,274892665767,138135
funcB,15,274892842531,274892979210,136679
funcB,16,274893297023,274893445617,148594
funcB,17,274893461921,274893601847,139926
funcB,18,274893616424,274893758176,141752
funcB,19,274893774753,274893916544,141791
funcB,20,274894401686,274894539103,137417
funcB,21,274894550145,274894695316,145171
funcB,22,274896579384,274896729066,149682
funcB,23,274898608014,274898757065,149051
funcB,24,274899075791,274899225841,150050
funcB,25,274899390349,274899537152,146803
funcB,26,274899555262,274899690443,135181
funcB,27,274899875995,274900012995,137000
funcB,28,274900191413,274900325852,134439
funcB,29,274900635124,274900784018,148894
funcB,30,274900971746,274901107733,135987
funcB,31,274901281467,274901420368,138901
funcB,32,274901431240,274901576708,145468
funcB,33,274901740959,274901885313,144354
funcB,34,274902217112,274902355855,138743
funcB,35,274902531865,274902667128,135263
funcB,36,274902678948,274902824269,145321
funcB,37,274902839243,274902976819,137576
funcB,38,274902994093,274903134606,140513
